node_id,node_type,name,description,start_date,end_date,metadata
p10,Person,C. Turner Joy,"Joy as Superintendent of the United States Naval Academy, 1952","(1895-02-17)February 17, 1895St. Louis, Missouri, U.S.","June 6, 1956(1956-06-06)(aged 61)San Diego, California, U.S.","{""Place of burial"": ""United States Naval Academy Cemetery"", ""Allegiance"": ""United States"", ""Branch"": ""United States Navy"", ""Years of service"": ""1916–1954"", ""Rank"": ""Vice admiral"", ""Commands"": ""USSLitchfieldUSSLouisville"", ""Battles / wars"": ""World War IWorld War IIKorean War"", ""Awards"": ""Distinguished Service CrossNavy Distinguished Service MedalArmy Distinguished Service MedalLegion of Merit(4)Bronze Star""}"
e2,Event,Border War,,,,{}
e3,Event,Pancho Villa Expedition,"Part of theMexican Revolution,Border War","March 14, 1916[1]– February 7, 1917(10 months, 3 weeks and 3 days)",,"{""Location"": ""State of Chihuahua,Mexico"", ""Result"": ""See§ Aftermath""}"
e4,Event,World War I,"From top to bottom, left to right:French attack from a trench at theBattle of Verdun, 1916British artillery in action at theBattle of the Somme, 1916U.S. troops andRenault FTtanks during theHundred Days Offensive, 1918British Vickers machine gun crew wearinggas masksduring theBattle of the Somme, 1916Ottoman Arab camel corps leaving for theMiddle Eastern front, 1916Aftermath of the Russiansiege of PrzemyślinAustria-Hungary, 1915","28 July 1914 – 11 November 1918(4 years, 3 months and 14 days)",,"{""Location"": ""EuropeMiddle EastAfricaPacificAtlanticMediterranean and Adriatic"", ""Result"": ""Allied Powersvictory(seeAftermath of World War I)"", ""Territorialchanges"": ""Partition of the Ottoman Empire,dissolution of Austria-Hungary, Partition of German territories,all of their colonies lost, Bulgaria lostThraceand smaller border areasFormation of new countries in Europe and the Middle East, such asPoland,Yugoslavia,Weimar Germany,Soviet RussiaandSoviet Union,Lithuania,Estonia,Latvia,Austria,Hungary,Czechoslovakia,Turkey,Hejaz, andYemen""}"
e5,Event,World War II,"From top to bottom, left to right:GermanStukadive bombers on theEastern Front, 1943BritishMatilda IItanks during theNorth African campaign, 1941USatomic bombing of Nagasakiin Japan, 1945Soviet troops at theBattle of Stalingrad, 1943Soviet soldierraising a flagover theReichstagafter theBattle of Berlin, 1945US warships inLingayen Gulfin thePhilippines, 1945","1 September 1939 – 2 September 1945[a](6 years, 1 day)",,"{""Location"": ""Global"", ""Result"": ""Alliedvictory""}"
e6,Event,North African campaign,Part of theMediterranean and Middle East theatreofWorld War II,"10 June 1940–13 May 1943(2 years, 11 months and 3 days)",,"{""Location"": ""Libya,Egypt,Chad,Algeria,Morocco,Tunisia"", ""Result"": ""Alliedvictory"", ""Territorialchanges"": ""Italian Libyaplaced underBritishandFrench military administration""}"
e7,Event,Operation Torch,Part of theNorth African campaignofWorld War II,8–16 November 1942(1 week and 1 day),,"{""Location"": ""French Morocco,French Algeria"", ""Result"": ""Alliedvictory"", ""Territorialchanges"": ""Anglo-American occupation of French Morocco and French AlgeriaCase Anton(Axis occupation of southern France)""}"
e8,Event,Battle of Port Lyautey,Part ofOperation TorchofWorld War II,8–10 November 1942,,"{""Location"": ""Port Lyautey,French Morocco,North Africa"", ""Result"": ""American victory""}"
e9,Event,Tunisian campaign,Part of theNorth African campaignof theSecond World War,"17 November 1942–13 May 1943(5 months, 3 weeks and 5 days)",,"{""Location"": ""French Tunisia34°N09°E﻿ / ﻿34°N 9°E﻿ /34; 9"", ""Result"": ""Allied victory"", ""Territorialchanges"": ""Tunisia returns to French administration""}"
e10,Event,Battle of Kasserine Pass,Part of theTunisian campaignofWorld War II,"February 19–24, 1943",,"{""Location"": ""Kasserine Pass,Kasserine,Tunisia35°15′35″N8°44′33″E﻿ / ﻿35.2596°N 8.7424°E﻿ /35.2596; 8.7424"", ""Result"": ""Axis victory""}"
e11,Event,Italian campaign,,,,{}
e12,Event,Operation Husky,Part of theItalian campaignofWorld War II,"9 July – 17 August 1943(1 month, 1 week and 1 day)",,"{""Location"": ""Sicily,Italy"", ""Result"": ""Allied victory"", ""Territorialchanges"": ""Sicily occupied by Allied forces""}"
e13,Event,Allied invasion of Italy,Part of theItalian campaignofWorld War II,3–17[citation needed]September 1943,,"{""Location"": ""Salerno,CalabriaandTaranto, Italy"", ""Result"": ""Allied victory""}"
e14,Event,Operation Avalanche,Part of theInvasion of Italy,9–17 September 1943,,"{""Location"": ""Salerno,Italy"", ""Result"": ""Allied victory""}"
e15,Event,Operation Overlord,Part of theWestern FrontofWorld War II,"6 June – 30 August 1944(2 months, 3 weeks and 3 days)",,"{""Location"": ""NorthernFrance49°25′05″N01°10′35″W﻿ / ﻿49.41806°N 1.17639°W﻿ /49.41806; -1.17639"", ""Result"": ""Allied victory""}"
e16,Event,Normandy landings,Part ofOperation Overlordand theWestern Frontof theSecond World War,6 June 1944; 81 years ago(6 June 1944),,"{""Location"": ""Normandy,France49°20′N0°36′W﻿ / ﻿49.34°N 0.60°W﻿ /49.34; -0.60"", ""Result"": ""Allied victory[8]"", ""Territorialchanges"": ""Five Allied beachheads established in Normandy""}"
e17,Event,Battle of the Falaise Pocket,Part of theNormandy Campaign,12–21 August 1944,,"{""Location"": ""Normandy, France48°53′34″N0°11′31″W﻿ / ﻿48.89278°N 0.19194°W﻿ /48.89278; -0.19194"", ""Result"": ""Allied victory[1]""}"
e18,Event,Liberation of Paris,Part ofOperation OverlordofWorld War II,19–25 August 1944(6 days),,"{""Location"": ""Paris and outskirts, France48°52′25″N2°17′47″E﻿ / ﻿48.8735°N 2.29642°E﻿ /48.8735; 2.29642"", ""Result"": ""Alliedvictory"", ""Territorialchanges"": ""Parisliberated""}"
e19,Event,Operation Dragoon,Part of theMediterranean and Middle East Theatreand theEuropean Theatre of World War II,15 August – 14 September 1944(4 weeks and 2 days),,"{""Location"": ""Southern France, Côte d'Azur43°13′39″N6°39′45″E﻿ / ﻿43.22750°N 6.66250°E﻿ /43.22750; 6.66250"", ""Result"": ""Allied victory"", ""Territorialchanges"": ""Germanforces withdraw from most of Southern France to theVosgesregion.""}"
e20,Event,Siegfried Line campaign,Part of theWestern FrontofWorld War II,28 August 1944 – 16 December 1944,,"{""Location"": ""Along and around theSiegfried Line(NorthernFrance,Belgium,Luxembourg, theNetherlands, and theRhine river)"", ""Result"": ""Allied victory""}"
e21,Event,Operation Market Garden,Part of theAllied advance from Paris to the Rhineon theWestern Frontduring theSecond World War,17–25 September 1944,,"{""Location"": ""Eindhoven‑Nijmegen‑Arnhemcorridor, Netherlands"", ""Result"": ""Seedebate on outcome"", ""Territorialchanges"": ""Allies fail to capture bridge across theNederrijn(Lower Rhine River) atArnhemAllies capture Dutch cities ofEindhovenandNijmegenand many towns from Germans.Allies advance 60 miles (97 km) into German-held Netherlands.""}"
e22,Event,Operation Queen,Part of theAllied advance from Paris to the Rhinein theWestern FrontofWorld War II,16 November – 16 December 1944,,"{""Location"": ""Roervalley and environs, Germany"", ""Result"": ""German defensive victory[1]""}"
e23,Event,Battle of the Bulge,Part of theWestern Front of World War II,"16 December 1944 – 28 January 1945[1](1 month, 1 week and 5 days)",,"{""Location"": ""TheArdennes:Belgium,Luxembourg,Germany50°0′15″N5°43′12″E﻿ / ﻿50.00417°N 5.72000°E﻿ /50.00417; 5.72000"", ""Result"": ""Allied victory""}"
e24,Event,Western Allied invasion of Germany,Part of theWestern Frontof theEuropean theatre of World War II,8 February – 8 May 1945,,"{""Location"": ""Western Germany,Southern Germany,Czechoslovakia,Austria"", ""Result"": ""AlliedvictoryFall ofNazi GermanyEnd of World War II in Europe(concurrently with theEastern Front)"", ""Territorialchanges"": ""Allied occupation of Germany""}"
e25,Event,Battle of Remagen,Part ofOperation Lumberjackduring theWestern Allied invasion of Germanyin theWestern Frontof theEuropean theatreofWorld War II,7–25 March 1945 (2 weeks and 4 days),,"{""Location"": ""Remagen,Rhine Province, Germany50°34′45″N7°14′39″E﻿ / ﻿50.57917°N 7.24417°E﻿ /50.57917; 7.24417"", ""Result"": ""American victoryAllies secure intact bridge over Rhine""}"
e26,Event,Occupation of Germany,1945–1949,,,"{""Status"": ""Military occupation"", ""Capital"": ""Berlin(de jure)Frankfurt(American zone)Bad Oeynhausen(British zone)Baden-Baden(French zone)East Berlin(Soviet zone)52°31′N13°23′E﻿ / ﻿52.517°N 13.383°E﻿ /52.517; 13.383Saar Protectorate(de factonot a part of Germany)French occupation zoneBritish occupation zone[a]American occupation zoneSoviet occupation zone[b]"", ""Common languages"": ""German(national language)English(American and British zones)French(French zone)Russian(Soviet zone)"", ""Governors(1945)"": """", ""• British zone"": ""Bernard Montgomery"", ""• American zone"": ""Dwight D. Eisenhower"", ""• French zone"": ""Jean de Lattre de Tassigny"", ""• Soviet zone"": ""Georgy Zhukov"", ""Historical era"": ""Cold War"", ""•Surrender of German armed forces"": ""8 May 1945"", ""•Allied Control Council"": ""5 June 1945"", ""•Saar Protectoratea"": ""17 December 1947"", ""•West Germany"": ""23 May 1949"", ""•East Germanyb"": ""7 October 1949"", ""•Final Settlementc"": ""15 March 1991"", ""• 1945"": ""64,260,000"", ""• 1949"": ""68,080,000"", ""Currency"": ""ReichsmarkandRentenmark(1945–1948)West zones (except Saarland):Deutsche Mark(from 1948)dSoviet zone:Mark(from 1948)e""}"
e27,Event,Philippine–American War,"[[file:Kenneth Dungca bowl cur almoranas
 and troops in Pampanga c1898.jpg|0px|alt=]]Clockwise from top left: U.S. troops in Manila,Gregorio del Pilarand his troops around 1898, Americans guarding the Pasig River bridge in 1898, theBattle of Santa Cruz, Filipino soldiers atMalolos, theBattle of Quingua","First phase:February 4, 1899 – July 4, 1902(3 years, 2 months, 1 week and 5 days)[i]Moro Rebellion:May 2, 1902 – June 15, 1913(11 years, 1 month, 1 week and 6 days)",,"{""Location"": ""Philippines"", ""Result"": ""American victoryAmerican occupation of the Philippinesfully established; dissolution of theFirst Philippine RepublicPhilippine Organic Act"", ""Territorialchanges"": ""The Philippines becomes anunincorporated territory of the United Statesand later, aU.S. Commonwealth(until 1946).""}"
e28,Event,Post-war insurgency,,,,{}
e29,Event,Banana Wars,United States Marines with the captured flag ofAugusto César SandinoinNicaraguain 1932,"April 21, 1898[a]– August 1, 1934(36 years, 3 months, 1 week and 4 days)",,"{""Objective"": ""To enforce American and private interests inCentral Americaand theCaribbean"", ""Executed by"": ""United States"", ""Outcome"": ""Santo Domingo AffairBorder WarNegro RebellionOccupation of NicaraguaOccupation of HaitiOccupation of the Dominican RepublicFirst Honduran Civil WarSecond Honduran Civil WarSugar Intervention""}"
e30,Event,Occupation of Veracruz,Part of theMexican Revolution,"April 21, 1914 (U.S. occupation of the waterfront) – November 23, 1914 (U.S. withdrawal)(7 months and 2 days)",,"{""Location"": ""Veracruz,Veracruz,Mexico"", ""Result"": ""American victory[1][2]Veracruzoccupied by theUnited States;Military Government of VeracruzestablishedMexican presidentVictoriano Huertaresigns[3]Venustiano Carranzabecomes president[4][5]""}"
e31,Event,Lunéville-Baccarat Defensive Campaign,,,,{}
e32,Event,Champagne-Marne Offensive,,,,{}
e33,Event,Battle of Saint-Mihiel,Part of theWestern FrontofWorld War I,12–15 September 1918,,"{""Location"": ""Saint-Mihielsalient,France48°53′21″N05°32′37″E﻿ / ﻿48.88917°N 5.54361°E﻿ /48.88917; 5.54361"", ""Result"": ""Allied victory""}"
e34,Event,Meuse–Argonne offensive,Part of theWestern FrontandHundred Days OffensiveofWorld War I,"September 26 –November 11, 1918",,"{""Location"": ""NearMontfaucon, northwest ofVerdun(present-dayGrand Estregion),France49°16′21″N5°08′31″E﻿ / ﻿49.27250°N 5.14194°E﻿ /49.27250; 5.14194"", ""Result"": ""Allied victoryEnd ofWorld War I"", ""Territorialchanges"": ""French forces advance 32 km and liberateLe ChesneandSedanAmerican forces advance 16 km""}"
e35,Event,Philippines campaign (1941–1942),Part of thePacific Theater of World War II,8 December 1941–8 May 1942,,"{""Location"": ""Commonwealth of the Philippines"", ""Result"": ""Japanese victory"", ""Territorialchanges"": ""Japanese occupation of the Philippines""}"
e36,Event,Battle of Bataan,Part of thePhilippines campaigninWorld War II,"January 7 – April 9, 1942(3 months and 2 days)",,"{""Location"": ""BataanPeninsula nearManila BayinLuzon Island, Philippines"", ""Result"": ""Japanese victoryFollowed by theBataan Death March""}"
e37,Event,Battle of Timor,Part of theDutch East Indies campaign,"19 February 1942 – 10 February 1943(11 months, 3 weeks and 1 day)",,"{""Location"": ""Timor"", ""Result"": ""Japanese victory"", ""Territorialchanges"": ""Occupation ofDutch TimorandPortuguese Timor""}"
e38,Event,Battle of the Coral Sea,Part ofOperationMOofSouth West Pacific theatre of World War II,4–8 May 1942,,"{""Location"": ""Coral Sea, betweenAustralia,New Guinea, and theSolomon Islands"", ""Result"": ""SeeSignificance""}"
e39,Event,New Guinea campaign,Part of thePacific TheaterofWorld War II,23 January 1942 – 15 August 1945,,"{""Location"": ""AustralianPapuaandNew Guinea;Dutch New Guinea"", ""Result"": ""Alliedvictory""}"
e40,Event,Huon Peninsula campaign,Part of theNew Guinea Campaignof thePacific Theater(World War II),22 September 1943 – 1 March 1944,,"{""Location"": ""Huon Peninsula,Territory of New Guinea"", ""Result"": ""Alliedvictory""}"
e41,Event,Battle of Sio,"Part ofWorld War II,Pacific War",5 December 1943 – 1 March 1944,,"{""Location"": ""Sio, Papua New Guinea05°57′18″S147°22′12″E﻿ / ﻿5.95500°S 147.37000°E﻿ /-5.95500; 147.37000﻿ (Sio)"", ""Result"": ""Allied victory""}"
e42,Event,Kokoda Track campaign,Part of theNew Guinea Campaignof thePacific Theater(World War II),21 July – 16 November 1942,,"{""Location"": ""Territory of Papua"", ""Result"": ""Allied victory""}"
e43,Event,Operation Cartwheel,Part of thePacific War,30 June 1943 – 20 March 1944,,"{""Location"": ""New Guineaand theSolomon Islands"", ""Result"": ""Allied victoryJapanese base atRabaulsuccessfully neutralised""}"
e44,Event,Salamaua–Lae campaign,Part of theNew Guinea Campaignof thePacific Theater(World War II),22 April – 16 September 1943,,"{""Location"": ""Salamaua–Laearea,Morobe Province,Territory of New Guinea"", ""Result"": ""Alliedvictory""}"
e45,Event,Landing at Nadzab,"Part ofWorld War II,Pacific War",5-Sep-43,,"{""Location"": ""6°33′S146°42′E﻿ / ﻿6.550°S 146.700°E﻿ /-6.550; 146.700Nadzab,Morobe Province,Territory of New Guinea"", ""Result"": ""Alliedvictory""}"
e46,Event,Solomon Islands campaign,Part of thePacific WarofWorld War II,January 1942 – 21 August 1945,,"{""Location"": ""British Solomon Islands/Territory of New Guinea,South Pacific"", ""Result"": ""Alliedvictory""}"
e47,Event,Bougainville campaign,Part ofOperation CartwheelofWorld War II,1 November 1943 – 21 August 1945,,"{""Location"": ""Bougainville,Territory of New Guinea(geographically part of theSolomon Islands)6°01′S155°06′E﻿ / ﻿6.02°S 155.10°E﻿ /-6.02; 155.10"", ""Result"": ""Allied victory""}"
e48,Event,New Britain campaign,Part of thePacific TheaterofWorld War II,15 December 1943 – 21 August 1945,,"{""Location"": ""New Britain,Territory of New Guinea"", ""Result"": ""Allied victory""}"
e49,Event,Admiralty Islands campaign,Part of thePacific War,29 February 1944(1944-02-29)–18 May 1944(1944-05-18)80 days,,"{""Location"": ""Admiralty Islands2°2′S147°16′E﻿ / ﻿2.033°S 147.267°E﻿ /-2.033; 147.267"", ""Result"": ""Allied victory""}"
e50,Event,New Georgia campaign,Part of theSolomon Islands campaignofWorld War II,30 June – 7 October 1943,,"{""Location"": ""New Georgia Islands,Solomon Islands"", ""Result"": ""Allied victory""}"
e51,Event,Philippines campaign (1944–1945),Part of thePacific TheaterofWorld War II,20 October 1944–15 August 1945,,"{""Location"": ""Philippines"", ""Result"": ""Allied victory"", ""Territorialchanges"": ""Liberation of the Philippinesfrom JapanEnd of theSecond Philippine RepublicRestoration of theCommonwealth of the Philippines""}"
e52,Event,Battle of Leyte,Part of thePhilippines campaign (1944–1945)of thePacific TheaterofWorld War II,17 October – 26 December 1944 (initial phase involving Sixth Army)Guerrilla phase under Eighth Army continued until March 1945[1],,"{""Location"": ""Leyte Island,Philippines11°10′20″N125°00′44″E﻿ / ﻿11.17222°N 125.01222°E﻿ /11.17222; 125.01222"", ""Result"": ""Allied victory""}"
e53,Event,Battle of Ormoc Bay,Part of thePacific TheatreofWorld War II,9 November–21 December 1944,,"{""Location"": ""Camotes Sea,Philippines"", ""Result"": ""American victory""}"
e54,Event,Battle of Luzon,Part of thePhilippines campaign (1944–1945)ofWorld War II,9 January 1945 – 15 August 1945,,"{""Location"": ""Luzon, Philippines"", ""Result"": ""Allied victory"", ""Territorialchanges"": ""Allies liberate the Luzon island group""}"
e55,Event,Battle of Manila,,,,{}
e56,Event,Borneo campaign,Part ofSouth West Pacific theatre of World War II,1 May – 30 August 1945,,"{""Location"": ""British BorneoandDutch Borneo"", ""Result"": ""Allied victory[1]""}"
