node_id,node_type,name,description,start_date,end_date,metadata
p10,Person,C. Turner Joy,"Joy as Superintendent of the United States Naval Academy, 1952","(1895-02-17)February 17, 1895St. Louis, Missouri, U.S.","June 6, 1956(1956-06-06)(aged 61)San Diego, California, U.S.","{""Place of burial"": ""United States Naval Academy Cemetery"", ""Allegiance"": ""United States"", ""Branch"": ""United States Navy"", ""Years of service"": ""1916–1954"", ""Rank"": ""Vice admiral"", ""Commands"": ""USSLitchfieldUSSLouisville"", ""Battles / wars"": ""World War IWorld War IIKorean War"", ""Awards"": ""Distinguished Service CrossNavy Distinguished Service MedalArmy Distinguished Service MedalLegion of Merit(4)Bronze Star""}"
e2,Event,Border War,,,,{}
e3,Event,Pancho Villa Expedition,"Part of theMexican Revolution,Border War","March 14, 1916[1]– February 7, 1917(10 months, 3 weeks and 3 days)",,"{""Location"": ""State of Chihuahua,Mexico"", ""Result"": ""See§ Aftermath""}"
e4,Event,World War I,"From top to bottom, left to right:French attack from a trench at theBattle of Verdun, 1916British artillery in action at theBattle of the Somme, 1916U.S. troops andRenault FTtanks during theHundred Days Offensive, 1918British Vickers machine gun crew wearinggas masksduring theBattle of the Somme, 1916Ottoman Arab camel corps leaving for theMiddle Eastern front, 1916Aftermath of the Russiansiege of PrzemyślinAustria-Hungary, 1915","28 July 1914 – 11 November 1918(4 years, 3 months and 14 days)",,"{""Location"": ""EuropeMiddle EastAfricaPacificAtlanticMediterranean and Adriatic"", ""Result"": ""Allied Powersvictory(seeAftermath of World War I)"", ""Territorialchanges"": ""Partition of the Ottoman Empire,dissolution of Austria-Hungary, Partition of German territories,all of their colonies lost, Bulgaria lostThraceand smaller border areasFormation of new countries in Europe and the Middle East, such asPoland,Yugoslavia,Weimar Germany,Soviet RussiaandSoviet Union,Lithuania,Estonia,Latvia,Austria,Hungary,Czechoslovakia,Turkey,Hejaz, andYemen""}"
e5,Event,World War II,"From top to bottom, left to right:GermanStukadive bombers on theEastern Front, 1943BritishMatilda IItanks during theNorth African campaign, 1941USatomic bombing of Nagasakiin Japan, 1945Soviet troops at theBattle of Stalingrad, 1943Soviet soldierraising a flagover theReichstagafter theBattle of Berlin, 1945US warships inLingayen Gulfin thePhilippines, 1945","1 September 1939 – 2 September 1945[a](6 years, 1 day)",,"{""Location"": ""Global"", ""Result"": ""Alliedvictory""}"
e6,Event,North African campaign,Part of theMediterranean and Middle East theatreofWorld War II,"10 June 1940–13 May 1943(2 years, 11 months and 3 days)",,"{""Location"": ""Libya,Egypt,Chad,Algeria,Morocco,Tunisia"", ""Result"": ""Alliedvictory"", ""Territorialchanges"": ""Italian Libyaplaced underBritishandFrench military administration""}"
e7,Event,Operation Torch,Part of theNorth African campaignofWorld War II,8–16 November 1942(1 week and 1 day),,"{""Location"": ""French Morocco,French Algeria"", ""Result"": ""Alliedvictory"", ""Territorialchanges"": ""Anglo-American occupation of French Morocco and French AlgeriaCase Anton(Axis occupation of southern France)""}"
e8,Event,Battle of Port Lyautey,Part ofOperation TorchofWorld War II,8–10 November 1942,,"{""Location"": ""Port Lyautey,French Morocco,North Africa"", ""Result"": ""American victory""}"
e9,Event,Tunisian campaign,Part of theNorth African campaignof theSecond World War,"17 November 1942–13 May 1943(5 months, 3 weeks and 5 days)",,"{""Location"": ""French Tunisia34°N09°E﻿ / ﻿34°N 9°E﻿ /34; 9"", ""Result"": ""Allied victory"", ""Territorialchanges"": ""Tunisia returns to French administration""}"
e10,Event,Battle of Kasserine Pass,Part of theTunisian campaignofWorld War II,"February 19–24, 1943",,"{""Location"": ""Kasserine Pass,Kasserine,Tunisia35°15′35″N8°44′33″E﻿ / ﻿35.2596°N 8.7424°E﻿ /35.2596; 8.7424"", ""Result"": ""Axis victory""}"
e11,Event,Italian campaign,,,,{}
e12,Event,Operation Husky,Part of theItalian campaignofWorld War II,"9 July – 17 August 1943(1 month, 1 week and 1 day)",,"{""Location"": ""Sicily,Italy"", ""Result"": ""Allied victory"", ""Territorialchanges"": ""Sicily occupied by Allied forces""}"
e13,Event,Allied invasion of Italy,Part of theItalian campaignofWorld War II,3–17[citation needed]September 1943,,"{""Location"": ""Salerno,CalabriaandTaranto, Italy"", ""Result"": ""Allied victory""}"
e14,Event,Operation Avalanche,Part of theInvasion of Italy,9–17 September 1943,,"{""Location"": ""Salerno,Italy"", ""Result"": ""Allied victory""}"
e15,Event,Operation Overlord,Part of theWestern FrontofWorld War II,"6 June – 30 August 1944(2 months, 3 weeks and 3 days)",,"{""Location"": ""NorthernFrance49°25′05″N01°10′35″W﻿ / ﻿49.41806°N 1.17639°W﻿ /49.41806; -1.17639"", ""Result"": ""Allied victory""}"
e16,Event,Normandy landings,Part ofOperation Overlordand theWestern Frontof theSecond World War,6 June 1944; 81 years ago(6 June 1944),,"{""Location"": ""Normandy,France49°20′N0°36′W﻿ / ﻿49.34°N 0.60°W﻿ /49.34; -0.60"", ""Result"": ""Allied victory[8]"", ""Territorialchanges"": ""Five Allied beachheads established in Normandy""}"
e17,Event,Battle of the Falaise Pocket,Part of theNormandy Campaign,12–21 August 1944,,"{""Location"": ""Normandy, France48°53′34″N0°11′31″W﻿ / ﻿48.89278°N 0.19194°W﻿ /48.89278; -0.19194"", ""Result"": ""Allied victory[1]""}"
e18,Event,Liberation of Paris,Part ofOperation OverlordofWorld War II,19–25 August 1944(6 days),,"{""Location"": ""Paris and outskirts, France48°52′25″N2°17′47″E﻿ / ﻿48.8735°N 2.29642°E﻿ /48.8735; 2.29642"", ""Result"": ""Alliedvictory"", ""Territorialchanges"": ""Parisliberated""}"
e19,Event,Operation Dragoon,Part of theMediterranean and Middle East Theatreand theEuropean Theatre of World War II,15 August – 14 September 1944(4 weeks and 2 days),,"{""Location"": ""Southern France, Côte d'Azur43°13′39″N6°39′45″E﻿ / ﻿43.22750°N 6.66250°E﻿ /43.22750; 6.66250"", ""Result"": ""Allied victory"", ""Territorialchanges"": ""Germanforces withdraw from most of Southern France to theVosgesregion.""}"
e20,Event,Siegfried Line campaign,Part of theWestern FrontofWorld War II,28 August 1944 – 16 December 1944,,"{""Location"": ""Along and around theSiegfried Line(NorthernFrance,Belgium,Luxembourg, theNetherlands, and theRhine river)"", ""Result"": ""Allied victory""}"
e21,Event,Operation Market Garden,Part of theAllied advance from Paris to the Rhineon theWestern Frontduring theSecond World War,17–25 September 1944,,"{""Location"": ""Eindhoven‑Nijmegen‑Arnhemcorridor, Netherlands"", ""Result"": ""Seedebate on outcome"", ""Territorialchanges"": ""Allies fail to capture bridge across theNederrijn(Lower Rhine River) atArnhemAllies capture Dutch cities ofEindhovenandNijmegenand many towns from Germans.Allies advance 60 miles (97 km) into German-held Netherlands.""}"
e22,Event,Operation Queen,Part of theAllied advance from Paris to the Rhinein theWestern FrontofWorld War II,16 November – 16 December 1944,,"{""Location"": ""Roervalley and environs, Germany"", ""Result"": ""German defensive victory[1]""}"
e23,Event,Battle of the Bulge,Part of theWestern Front of World War II,"16 December 1944 – 28 January 1945[1](1 month, 1 week and 5 days)",,"{""Location"": ""TheArdennes:Belgium,Luxembourg,Germany50°0′15″N5°43′12″E﻿ / ﻿50.00417°N 5.72000°E﻿ /50.00417; 5.72000"", ""Result"": ""Allied victory""}"
e24,Event,Western Allied invasion of Germany,Part of theWestern Frontof theEuropean theatre of World War II,8 February – 8 May 1945,,"{""Location"": ""Western Germany,Southern Germany,Czechoslovakia,Austria"", ""Result"": ""AlliedvictoryFall ofNazi GermanyEnd of World War II in Europe(concurrently with theEastern Front)"", ""Territorialchanges"": ""Allied occupation of Germany""}"
e25,Event,Battle of Remagen,Part ofOperation Lumberjackduring theWestern Allied invasion of Germanyin theWestern Frontof theEuropean theatreofWorld War II,7–25 March 1945 (2 weeks and 4 days),,"{""Location"": ""Remagen,Rhine Province, Germany50°34′45″N7°14′39″E﻿ / ﻿50.57917°N 7.24417°E﻿ /50.57917; 7.24417"", ""Result"": ""American victoryAllies secure intact bridge over Rhine""}"
e26,Event,Occupation of Germany,1945–1949,,,"{""Status"": ""Military occupation"", ""Capital"": ""Berlin(de jure)Frankfurt(American zone)Bad Oeynhausen(British zone)Baden-Baden(French zone)East Berlin(Soviet zone)52°31′N13°23′E﻿ / ﻿52.517°N 13.383°E﻿ /52.517; 13.383Saar Protectorate(de factonot a part of Germany)French occupation zoneBritish occupation zone[a]American occupation zoneSoviet occupation zone[b]"", ""Common languages"": ""German(national language)English(American and British zones)French(French zone)Russian(Soviet zone)"", ""Governors(1945)"": """", ""• British zone"": ""Bernard Montgomery"", ""• American zone"": ""Dwight D. Eisenhower"", ""• French zone"": ""Jean de Lattre de Tassigny"", ""• Soviet zone"": ""Georgy Zhukov"", ""Historical era"": ""Cold War"", ""•Surrender of German armed forces"": ""8 May 1945"", ""•Allied Control Council"": ""5 June 1945"", ""•Saar Protectoratea"": ""17 December 1947"", ""•West Germany"": ""23 May 1949"", ""•East Germanyb"": ""7 October 1949"", ""•Final Settlementc"": ""15 March 1991"", ""• 1945"": ""64,260,000"", ""• 1949"": ""68,080,000"", ""Currency"": ""ReichsmarkandRentenmark(1945–1948)West zones (except Saarland):Deutsche Mark(from 1948)dSoviet zone:Mark(from 1948)e""}"
